"t [s]","Acceleration a_x [m/s^2]","Acceleration a_y [m/s^2]","Acceleration a_z [m/s^2]"
1.542893298E1,1.037736521E-1,1.493528616E-1,5.425668722E-1
1.563132147E1,7.589121563E-2,1.322663514E-1,6.759780209E-1
1.583368850E1,5.635605789E-2,2.754378828E-2,6.251328282E-1
1.603608262E1,5.193340488E-2,-8.630401732E-2,3.746118924E-1
1.623843668E1,5.328887846E-2,-1.744718737E-1,2.003270242E-2
1.644081048E1,3.235982104E-2,-1.728309513E-1,-3.198392246E-1
1.664318798E1,-2.011629430E-2,-7.372512150E-2,-5.679749120E-1
1.684556163E1,-6.975832218E-2,4.551265007E-2,-6.377028794E-1
1.704793678E1,-7.940873867E-2,1.192068552E-1,-5.066060431E-1
1.725031824E1,-2.578593463E-2,1.254460434E-1,-2.239127813E-1
1.745268480E1,4.901879008E-2,5.671960842E-2,1.083446392E-1
1.765505230E1,9.773498628E-2,-4.600019135E-2,4.094813044E-1
1.785743397E1,9.690949975E-2,-1.320437173E-1,5.946531732E-1
1.805979834E1,7.074142084E-2,-1.603614135E-1,6.134731130E-1
1.826219434E1,4.768783290E-2,-9.378002593E-2,4.476089419E-1
1.846454152E1,3.763645451E-2,2.136706161E-2,1.427743755E-1
1.866691642E1,2.083092201E-2,1.066974023E-1,-1.877573074E-1
1.886928538E1,-1.626626457E-2,1.247120565E-1,-4.444206633E-1
1.907165637E1,-5.537242424E-2,7.119736730E-2,-5.642017039E-1
1.927402595E1,-6.114399142E-2,-2.533306654E-2,-5.201809857E-1
1.947638460E1,-2.533373019E-2,-1.240163893E-1,-3.202465336E-1
1.967876980E1,2.918476012E-2,-1.734342630E-1,-2.746972660E-2
1.988114355E1,7.668537047E-2,-1.223154501E-1,2.691032712E-1
2.008351413E1,8.726855022E-2,-1.200841295E-2,4.922001798E-1
2.028588137E1,5.961650755E-2,9.264940678E-2,5.776372305E-1
2.048827402E1,3.522414696E-2,1.360905628E-1,4.796110479E-1
2.069062220E1,2.349951209E-2,1.067704464E-1,2.345436782E-1
2.089299058E1,2.171181469E-2,9.277186016E-3,-5.356716092E-2
2.109535741E1,1.309413445E-2,-9.521943076E-2,-3.156810912E-1
2.129772319E1,-2.595827056E-2,-1.678362878E-1,-4.831787711E-1
2.150009470E1,-5.499986323E-2,-1.577366676E-1,-5.101451234E-1
2.170248204E1,-4.198827976E-2,-6.649171706E-2,-3.804896925E-1
2.190483564E1,-2.507326080E-3,4.679212592E-2,-1.256298045E-1
2.210720303E1,4.147231870E-2,1.151779861E-1,1.584449541E-1
2.230957512E1,6.636935909E-2,1.132629528E-1,3.944033035E-1
2.251193939E1,5.965958572E-2,4.689977663E-2,5.044536969E-1
2.271430741E1,5.627713552E-2,-5.298958900E-2,4.826966582E-1
2.291667324E1,3.934415957E-2,-1.413023923E-1,3.207381906E-1
2.311904355E1,2.813560207E-2,-1.659104653E-1,6.542634382E-2
2.332141329E1,1.638328738E-2,-9.478077547E-2,-2.014287681E-1
2.352377730E1,-1.531014791E-2,1.949045716E-3,-4.046733408E-1
2.372614720E1,-5.075145349E-2,8.393546648E-2,-4.766408932E-1
